client,project_id,zip_package_name,file_name
BLO,251315,Frictionlessness.zip,Prelims.docx
BLO,251316,Linguistic Approaches for Academic Purposes.zip,12Chap9.docx
BLO,251316,Linguistic Approaches for Academic Purposes.zip,Walkova ed Abstracts .docx
BLO,251316,Linguistic Approaches for Academic Purposes.zip,04Chap2tables.docx
BLO,251316,Linguistic Approaches for Academic Purposes.zip,08Chap6figuresConfiguration.docx
BLO,251316,Linguistic Approaches for Academic Purposes.zip,!Prelims Template.docx
BLO,251316,Linguistic Approaches for Academic Purposes.zip,01Chap1.docx
BLO,251316,Linguistic Approaches for Academic Purposes.zip,02PartOne.docx
BLO,251316,Linguistic Approaches for Academic Purposes.zip,03Chap2.docx
BLO,251316,Linguistic Approaches for Academic Purposes.zip,04Chap3.docx
BLO,251316,Linguistic Approaches for Academic Purposes.zip,05PartTwo.docx
BLO,251316,Linguistic Approaches for Academic Purposes.zip,06Chap4.docx
BLO,251316,Linguistic Approaches for Academic Purposes.zip,07Chap5.docx
BLO,251316,Linguistic Approaches for Academic Purposes.zip,08Chap6.docx
BLO,251316,Linguistic Approaches for Academic Purposes.zip,09PartThree.docx
BLO,251316,Linguistic Approaches for Academic Purposes.zip,10Chap7.docx
BLO,251316,Linguistic Approaches for Academic Purposes.zip,11Chap8.doc
BLO,251321,Philosophical Health.zip,Abstracts and Keywords.docx
BLO,251321,Philosophical Health.zip,00prelims.docx
BLO,251321,Philosophical Health.zip,01 MS.docx
BLO,251326,Modern Nigeria.zip,23_About the Authors.docx
BLO,251326,Modern Nigeria.zip,Sidebar_Chapter 01.docx
BLO,251326,Modern Nigeria.zip,Sidebar_Chapter 02.docx
BLO,251326,Modern Nigeria.zip,Sidebar_Chapter 03.docx
BLO,251326,Modern Nigeria.zip,Sidebar_Chapter 04.docx
BLO,251326,Modern Nigeria.zip,Sidebar_Chapter 05.docx
BLO,251326,Modern Nigeria.zip,Sidebar_Chapter 06.docx
BLO,251326,Modern Nigeria.zip,Sidebar_Chapter 07.docx
BLO,251326,Modern Nigeria.zip,Sidebar_Chapter 08.docx
BLO,251326,Modern Nigeria.zip,Sidebar_Chapter 09.docx
BLO,251326,Modern Nigeria.zip,Sidebar_Chapter 10.docx
BLO,251326,Modern Nigeria.zip,Sidebar_Chapter 11.docx
BLO,251326,Modern Nigeria.zip,Sidebar_Chapter 12.docx
BLO,251326,Modern Nigeria.zip,Sidebar_Chapter 13.docx
BLO,251326,Modern Nigeria.zip,Sidebar_Chapter 14.docx
BLO,251326,Modern Nigeria.zip,Sidebar_Chapter 15.docx
BLO,251326,Modern Nigeria.zip,Sidebar_Chapter 16.docx
